"","X","agency_cd","site_no","measurement_nu","measurement_dt","tz_cd","q_meas_used_fg","party_nm","site_visit_coll_agency_cd","gage_height_va","discharge_va","current_rating_nu","shift_adj_va","diff_from_rating_pc","measured_rating_diff","gage_va_change","gage_va_time","control_type_cd","discharge_cd","chan_nu","chan_name","meas_type","streamflow_method","velocity_method","chan_discharge","chan_width","chan_area","chan_velocity","chan_stability","chan_material","chan_evenness","long_vel_desc","horz_vel_desc","vert_vel_desc","chan_loc_cd","chan_loc_dist","river_name","SLOPE","LatSite","LonSite","area","width","velocity","slope","depth","n"
"375953",917205,"USGS",3077500,"684","2014-04-01 12:53:00","EDT","Yes","DM","USGS",4.35,807,"",NA,NA,"Good",NA,NA,"VegetationLight","MEAS",1,"main","BRDS","QADCP","VADCP",807,206,449,1.8,"FIRM","BLDR","EVEN","unkn","EVEN","STND","DNST",800,"youghiogheny r",0.00586867,39.80535485,-79.3642019,41.713447,62.83,0.549,0.00586867,0.663909708737864,0.106194864075143
"314093",512995,"USGS",6700000,"4","2002-12-03 11:30:00","MST","Yes","GJS/GBO","USGS",5.98,367," 2.0",0,0.4,"FAIR",0,0.5,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",367,96,141,2.6,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"south platte r",0.01329309,39.16276858,-105.3102732,13.099323,29.28,0.793,0.01329309,0.44738125,0.0850468640313598
"295448",700212,"USGS",1350000,"848","1990-08-30 07:20:00","EST","Yes","FND","USGS",3.17,406,"",NA,NA,"Good",0,1,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",406,190,342,1.19,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"schoharie creek",0.00025818,42.31944444,-74.4366667,31.772826,57.95,0.36295,0.00025818,0.54828,0.0296562408579996
"200558",706168,"USGS",2089000,"705","2006-06-21 12:15:00","EDT","Yes","BAA/JIM","USGS",19.86,11800,"10.0",NA,2.6,"FAIR",NA,NA,"SUBM","MEAS",1,"Unspecified","UNSP","QADCP","VADCP",11800,299,4490,2.78,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"neuse r",0.00008403,35.3375,-77.9975,417.13447,91.195,0.8479,0.00008403,4.57409364548495,0.0297903711698266
"280841",540306,"USGS",9502000,"607","2002-08-09 06:50:00","MST","Yes","S/AR","USGS",3.42,761,"21.0",0.13,0.4,"FAIR",0,2,"CLER","MEAS",1,"Unspecified","CWAY","QUNSP","",761,204,637,1.19,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"salt r",0.00080893,33.55282304,-111.5765243,59.179211,62.22,0.36295,0.00080893,0.951128431372549,0.0757881744633054
"107710",161699,"USGS",3263000,"697","2001-12-13 10:20:00","EST","Yes","as","USGS",2.86,606,"",-0.07,-0.3,"GOOD",NA,NA,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",606,118,292,2.08,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"great miami r",0.00052934,39.87283509,-84.164107,27.127676,35.99,0.6344,0.00052934,0.75375593220339,0.0300371007305563
"283296",503381,"USGS",8181800,"501","2016-04-06 11:56:00","CDT","Yes","CAP/VAM","USGS",11.2,313,"17.0",0.33,-0.3,"FAIR",-0.06,1,"","MEAS",1,"Main","MBOT","QADCP","VADCP",313,37.5,209,1.5,"FIRM","SAND","EVEN","STDY","EVEN","UNFM","ATGA",0,"san antonio r",0.0004062,29.2221853,-98.3558463,19.416727,11.4375,0.4575,0.0004062,1.69763733333333,0.0626915209112046
"124805",762148,"USGS",6477000,"744","2001-04-12 14:00:00","CDT","Yes","RLB/JSC","USGS",18.44,16400,"11.0",-0.36,-0.6,"GOOD",0.06,1.4,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",16400,275,5080,3.23,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"james r",0.00004629,43.9738721,-98.070916,471.94724,83.875,0.98515,0.00004629,5.62679272727273,0.0218481753982017
"214572",228577,"USGS",2213000,"227","1949-03-30","","Yes","GTC","USGS",9.68,3610,"",0,-1.9,"GOOD",0.01,3.9,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",3610,271,3870,0.93,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"ocmulgee r",0.00013426,32.8386111,-83.6205556,359.53461,82.655,0.28365,0.00013426,4.34982287822878,0.108852460168386
"4416",11720,"USGS",7081200,"307","1998-05-07 10:35:00","MDT","Yes","JMW","USGS",2.48,74.6," 6.0",0,-4,"FAIR",0.04,0.7,"MDDB","MEAS",1,"Unspecified","WADE","QUNSP","",74.6,49,36.4,2.04,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"arkansas r",0.01346666,39.249,-106.3481111,3.3816692,14.945,0.6222,0.01346666,0.226274285714286,0.0692558944581985
"243108",714230,"USGS",6770500,"1154","1962-02-14","","Yes","Wagner","USGS",4.1,3760,"",NA,NA,"GOOD",0,NA,"CICE","UNSP",1,"","WADE","QSCMM","",3760,806,1780,2.11,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"platte r",0.00188679,40.8744567,-98.2820044,165.36734,245.83,0.64355,0.00188679,0.67268982630273,0.0518190437726544
"337770",784259,"USGS",10350000,"712","2014-03-18 13:31:00","PDT","Yes","ELS","USGS",4.33,466,"36.1",-0.01,0.2,"GOOD",0.01,0.5,"CLER","MEAS",1,"STA","CWAY","QSCMM","VADCP",466,100,399,1.17,"FIRM","LDGE","EVEN","STDY","UNEV","STND","UPST",500,"truckee r",0.00041951,39.5204672,-119.7010198,37.068297,30.5,0.35685,0.00041951,1.215354,0.065366312753799
"1733",5324,"USGS",3016000,"532","2004-06-02 08:13:00","EDT","Yes","JLM","USGS",6.24,12100,"",NA,NA,"Good",-0.05,1.4,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",12100,575,3350,3.6,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"allegheny r",0.00009569,41.5708949,-79.4078243,311.22505,175.375,1.098,0.00009569,1.77462608695652,0.0130587671501433
"313581",1224150,"USGS",5120000,"1222","2007-03-20 16:10:00","CDT","Yes","LAC","USGS",4.01,78.5," 8.0",0,-1.5,"GOOD",-0.01,0.8,"CLER","MEAS",1,"Unspecified","WADE","QUNSP","",78.5,58,57.8,1.36,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"souris r",0.00003238,48.15972928,-100.7295863,5.3697934,17.69,0.4148,0.00003238,0.303549655172414,0.00619611548586732
"275717",328527,"USGS",5530990,"327","2010-08-11 12:04:00","CST","Yes","JAG","USGS",2.66,18.3,"20.0",0.15,-0.5,"GOOD",0,0.48,"CLER","MEAS",1,"Channel 1","WADE","QSCMM","VADV",18.3,34,25.6,0.71,"SOFT","SAND","EVEN","STDY","EVEN","UNSP","UPST",70,"salt creek",0.0003116,42.06055556,-88.0166667,2.3783168,10.37,0.21655,0.0003116,0.229345882352941,0.0305422598632634
"110550",90649,"USGS",9315000,"2514","1985-12-18","","Yes","JRT","USGS",6.97,4000,"10.0",-0.16,-3.8,"FAIR",0.05,1,"SICE","MEAS",1,"Unspecified","CWAY","QUNSP","",4000,316,1870,2.14,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"green r",0.00067975,38.9860831,-110.1512475,173.72861,96.38,0.6527,0.00067975,1.80253797468354,0.0591630576106882
"347553",1981180,"USGS",9413500,"376","2010-04-27 09:12:30","MDT","Yes","rls","USGS",5.9,564," 5.0",0.25,-0.4,"FAIR",0.07,0.58,"CLER","MEAS",1,"main","WADE","QSCMM","VPAA",564,118,158,3.56,"FIRM","SAND","UNEV","UNSP","EVEN","STDY","DNST",75,"virgin r",0.00144831,37.0144243,-113.6805163,14.678674,35.99,1.0858,0.00144831,0.407854237288136,0.0192760293890039
"326152",353641,"USGS",2314500,"352","1964-09-21 15:40:00","EST","Yes","RBM","USGS",17.8,9390," 5.0",0,1.8,"GOOD",-0.02,1.4,"CLER","MEAS",1,"Unspecified","CRAN","QUNSP","",9390,510,6290,1.48,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"suwannee r",0.00018453,30.68055556,-82.5605556,584.35987,155.55,0.4514,0.00018453,3.75673333333333,0.0727241825609271
"247729",267586,"USGS",1595800,"267","2013-01-10 11:18:00","EST","Yes","MAC","USGS",3.16,281,"11.0",-0.04,-2.4,"FAIR",0,0.28,"CLER","MEAS",1,"","UNSP","QADCP","VADCP",281,139,283,0.99,"FIRM","BLDR","UNEV","PULS","EVEN","NSTD","DNST",250,"potomac r",0.00876884,39.4451111,-79.1108056,26.291549,42.395,0.30195,0.00876884,0.620156834532374,0.225529692872073
"227205",1672123,"USGS",8395500,"1782","1989-10-02 13:05:00","MDT","Yes","TOD","USGS",2.19,20.7,"17.0",-0.02,0.7,"GOOD",0,0.42,"","MEAS",1,"Unspecified","WADE","QUNSP","",20.7,37,21.4,0.967,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"pecos r",0.0006482,32.98930556,-104.3209722,1.9881242,11.285,0.294935,0.0006482,0.176174054054054,0.0271283157810436
"181701",705171,"USGS",6807000,"677","1946-10-15 08:35:00","CST","Yes","R","USGS",8.12,47200,"",0,NA,"GOOD",0.07,4,"","MEAS",1,"Unspecified","CRAN","QUNSP","",47200,863,7220,6.54,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00018533,40.681946,-95.846946,670.75966,263.215,1.9947,0.00018533,2.54833371958285,0.0127330606908072
"363489",447527,"USGS",2313000,"570","1991-06-12 11:50:00","EDT","Yes","MJO/BB","USGS",1.86,548,"",NA,NA,"Good",0,1.2,"Clear","MEAS",1,"Imported Channel 1","BOAT","unspe","unkno",548,84,686,0.8,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"withlacoochee r",0.00011553,28.98886759,-82.3495406,63.731458,25.62,0.244,0.00011553,2.48756666666667,0.0808737124281928
"130401",157483,"USGS",5593000,"570","1984-01-04","","Yes","JDD","USGS",22.8,8270,"20.0",0,-4.1,"FAIR",-0.07,1,"SUBM","MEAS",1,"Unspecified","CRAN","QUNSP","",8270,245,3140,2.63,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"kaskaskia r",0.00009049,38.6117153,-89.35619,291.71542,74.725,0.80215,0.00009049,3.90385306122449,0.0294017839112595
"361174",3121257,"USGS",5391000,"519","2009-04-02 11:10:00","CDT","Yes","BWO","USGS",1,286,"  20",0,-3.4,"GOOD",0,0.4,"CLER","UNSP",1,"","WADE","QADCP","VADCP",286,168,324,0.88,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","DNST",100,"wisconsin r",0.00048588,45.8305086,-89.55236359,30.100572,51.24,0.2684,0.00048588,0.587442857142857,0.0576048546179878
"352442",2051200,"USGS",7328100,"1076","2007-01-31 10:08:00","CST","Yes","DLB","USGS",4.81,213,"",NA,NA,"Good",0,0.4,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",213,109,141,1.51,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"washita r",0.00041249,34.92590298,-97.7739273,13.099323,33.245,0.46055,0.00041249,0.394023853211009,0.0237016329393366
"201382",257479,"USGS",3168000,"256","1962-02-01 12:00:00","EST","Yes","WEH","USGS",3.2,6370,"",NA,NA,"GOOD",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",6370,460,3160,2.02,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"new r",0.00446022,36.93762235,-80.7456257,293.57348,140.3,0.6161,0.00446022,2.09246956521739,0.177337139228015
"132878",677128,"USGS",3287000,"678","2013-08-30 10:18:54","EDT","Yes","tsl sbe","USGS",10.39,1180,"",NA,NA,"Good",-0.01,0.2,"Clear","MEAS",1,"main","MBOT","QADCP","VADCP",1180,358,7410,0.16,"FIRM","silt","EVEN","unkn","EVEN","UNFM","UPST",1000,"kentucky r",0.0000234,37.92563166,-84.8213381,688.41123,109.19,0.0488,0.0000234,6.3047094972067,0.338297010714491
"55695",226162,"USGS",8147000,"984","2014-12-09 12:42:00","CST","Yes","LCRA","TX071",1.9,48.2,"09.1",0.05,-0.2,"FAIR",0,0.83,"UNSP","MEAS",1,"Channel 1","WADE","QSCMM","VADV",48.2,78,48.2,1,"UNSP","CBLS","UNSP","STDY","UNEV","NSTD","DNST",4700,"colorado r",0.00081753,31.21794515,-98.564484,4.4779246,23.79,0.305,0.00081753,0.18822717948718,0.0307898022469891
"131897",603187,"USGS",3284000,"602","2002-11-27 16:47:00","EST","Yes","TSL/REP","USGS",11.22,2790,"",NA,NA,"Unspecified",0,0.3,"DebrisLight","MEAS",1,"Imported Channel 1","BOAT","unspe","unkno",2790,320,4770,0.59,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"kentucky r",0.000094,37.8948011,-84.2621528,443.14731,97.6,0.17995,0.000094,4.54044375,0.147733031249334
"99445",526141,"USGS",3439000,"525","1972-12-15 11:35:00","EST","Yes","TED","USGS",6.52,1900,"14.0",0,-1.6,"FAIR",-0.24,0.75,"CLER","MEAS",1,"Unspecified","CWAY","QUNSP","",1900,75,449,4.23,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"french broad r",0.00224637,35.1433333,-82.8247222,41.713447,22.875,1.29015,0.00224637,1.82353866666667,0.0548332208020986
"76966",240218,"USGS",5488110,"239","2012-10-15 09:42:00","CDT","Yes","ALD/CVS","USGS",83.22,332," 8.0",0.67,4.1,"GOOD",0,1.03,"CLER","MEAS",1,"Main","WADE","QSCMM","VADV",332,246,333,1,"FIRM","GRVL","EVEN","STDY","EVEN","STND","UPST",700,"des moines r",0.00195081,41.36055325,-92.9732556,30.936699,75.03,0.305,0.00195081,0.412324390243902,0.0802232645401667
"172844",217816,"USGS",6330000,"2181","1955-05-20","","Yes","BETHKE","USGS",7.02,33800,"",NA,NA,"FAIR",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",33800,1101,10100,3.35,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00003363,48.1080792,-103.7146446,938.3203,335.805,1.02175,0.00003363,2.79424159854678,0.0112597329357775
"191087",314816,"USGS",6818000,"3145","1992-08-25 07:00:00","CDT","Yes","MCM","USGS",9.61,36600,"",NA,NA,"Fair",0.04,2,"Clear","MEAS",1,"Imported Channel 1","CRAN","unspe","unkno",36600,760,10800,3.39,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"missouri r",0.00020116,39.75325,-94.8568333,1003.3524,231.8,1.03395,0.00020116,4.32852631578947,0.0364332558880665
"131484",291696,"USGS",3284000,"28","1938-12-17 09:15:00","EST","Yes","REF","USGS",11.53,2960,"",NA,NA,"Good",-0.02,1.2,"Submerged","MEAS",1,"Imported Channel 1","BOAT","unspe","unkno",2960,263,2430,1.22,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"kentucky r",0.000094,37.8948011,-84.2621528,225.75429,80.215,0.3721,0.000094,2.81436501901141,0.051938715658473
"172496",1824105,"USGS",6330000,"1825","1952-08-22","","Yes","BETHKE","USGS",6.2,26900,"",NA,NA,"GOOD",NA,NA,"","MEAS",1,"","UNSP","QSCMM","",26900,1081,8840,3.05,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00003363,48.1080792,-103.7146446,821.26252,329.705,0.93025,0.00003363,2.49090101757632,0.0114551663855451
"276396",166983,"USGS",6803000,"170","1957-05-18","","Yes","Hutchins","USGS",4.51,15.4,"",NA,NA,"GOOD",-0.02,NA,"","UNSP",1,"","WADE","QSCMM","VPAA",15.4,11,13.4,1.15,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"salt creek",0.00149245,40.65777778,-96.6655556,1.2449002,3.355,0.35075,0.00149245,0.371058181818182,0.0568739716194785
"286244",649257,"USGS",9368000,"3927","2014-03-19 11:19:30","MDT","Yes","arcox","USGS",7.5,614,"28.0",0.05,0.5,"FAIR",0.02,1.11,"CLER","MEAS",1,"Main","WADE","QSCMM","VADV",614,132,287,2.14,"SOFT","SAND","UNEV","STDY","EVEN","STND","ATGA",0,"san juan r",0.0010873,36.77666667,-108.6830556,26.663161,40.26,0.6527,0.0010873,0.662274242424242,0.0383842439700012
"177954",213621,"USGS",6610000,"2135","1966-04-11 13:05:00","CST","Yes","FEL","USGS",5.92,29700,"",0,NA,"GOOD",-0.02,1.6,"","MEAS",1,"Unspecified","CRAN","QUNSP","",29700,577,6500,4.57,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.00006841,41.25888735,-95.9225138,603.8695,175.985,1.39385,0.00006841,3.4313691507799,0.013499635761149
"69315",147285,"USGS",1423000,"154","1959-08-25","","Yes","X","USGS",2.73,84.9,"",NA,NA,"Unspecified",NA,NA,"Unspecifed","UNSP",1,"Imported Channel 1","UNSP","QSCMM","VPAA",84.9,73,102,0.83,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"delaware r",0.00050346,42.1661111,-75.14,9.476106,22.265,0.25315,0.00050346,0.425605479452055,0.0501505878177714
"296494",196970,"USGS",1468500,"510","1998-12-15 10:45:00","EST","Yes","DGK","USGS",2.86,54.6,"",NA,NA,"Good",0,NA,"DebrisLight","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",54.6,63,37.8,1.43,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"schuylkill r",0.00213462,40.6292577,-76.1246622,3.5117334,19.215,0.43615,0.00213462,0.18276,0.034114984361025
"330011",494454,"USGS",3500000,"492","1983-09-07","","Yes","TED","USGS",1.64,148,"17.0",0.05,0.7,"GOOD",-0.01,0.5,"LGDB","MEAS",1,"Unspecified","WADE","QUNSP","",148,103,137,1.08,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"tennessee r",0.00120249,35.15,-83.3797222,12.727711,31.415,0.3294,0.00120249,0.405147572815534,0.0576402650943127
"157542",471539,"USGS",14158850,"257","1993-06-14 13:30:00","PDT","Yes","JEP","USGS",7.07,1190,"",NA,NA,"Fair",-0.01,0.9,"Clear","MEAS",1,"Imported Channel 1","CWAY","unspe","unkno",1190,109,320,3.72,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"mckenzie r",0.01623125,44.2679001,-122.0497826,29.72896,33.245,1.1346,0.01623125,0.894238532110092,0.104224252854375
"86235",106019,"USGS",6798500,"987","1986-03-05","","Yes","GVS","USGS",4.27,687,"12.0",-0.1,NA,"GOOD",0,0.75,"CLER","MEAS",1,"Unspecified","BRUS","QUNSP","",687,171,318,2.16,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"elkhorn r",0.00085491,42.125,-98.0311111,29.543154,52.155,0.6588,0.00085491,0.566449122807018,0.030384158561308
"175047",95073,"USGS",6336000,"943","2006-11-20 12:35:00","CST","Yes","RJR","USGS",1.84,31.3," 3.0",-0.04,1.3,"GOOD",0,0.5,"LGDB","MEAS",1,"Unspecified","WADE","QUNSP","",31.3,48,27.6,1.13,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"missouri r",0.0008371,46.91945839,-103.5282426,2.5641228,14.64,0.34465,0.0008371,0.175145,0.0262790029661336
"307621",981522,"USGS",13057000,"109","2011-11-18 09:25:09","MST","Yes","LAA/DGC","USGS",4.14,6350,"",NA,NA,"Good",0,0.3,"DebrisLight","MEAS",1,"Snake Menan","BRDS","QADCP","VADCP",6350,329,2140,2.97,"FIRM","GRVL","EVEN","unkn","EVEN","UNFM","DNST",150,"snake r",0.00473684,43.75277778,-111.9791667,198.81242,100.345,0.90585,0.00473684,1.98128875379939,0.119854198500943
"229976",388362,"USGS",8402000,"944","1987-05-04","","Yes","RLM","USGS",3.12,589,"13.0",-0.05,0.2,"GOOD",-0.01,0.5,"","MEAS",1,"Unspecified","WADE","QUNSP","",589,60,135,4.36,"UNSP","UNSP","UNSP","UNSP","UNSP","UNSP","UNSP",NA,"pecos r",0.00248956,32.51122778,-104.3332889,12.541905,18.3,1.3298,0.00248956,0.68535,0.0291664282483305
"143505",214455,"USGS",3498500,"602","2007-01-03 10:05:00","EST","Yes","TDP","USGS",6.96,503,"",NA,NA,"Good",-0.01,0.8,"Clear","MEAS",1,"Imported Channel 1","WADE","unspe","unkno",503,162,259,1.94,"UNSP","UNSP","UNSP","unkn","UNSP","UNSP","UNSP",NA,"little r",0.00138379,35.7856206,-83.88460359,24.061877,49.41,0.5917,0.00138379,0.486983950617284,0.0389143657996006
